iter	Passed	Remaining
0	1	1059
1	1	643
2	1	519
3	1	446
4	2	409
5	2	383
6	2	358
7	2	343
8	2	329
9	3	317
10	3	312
11	3	305
12	3	299
13	4	292
14	4	286
15	4	280
16	4	276
17	4	272
18	5	268
19	5	264
20	5	260
21	5	256
22	5	253
23	6	251
24	6	248
25	6	246
26	6	243
27	6	241
28	7	239
29	7	238
30	7	235
31	7	234
32	7	232
33	8	230
34	8	228
35	8	227
36	8	225
37	8	225
38	9	223
39	9	221
40	9	220
41	9	219
42	9	217
43	10	217
44	10	216
45	10	214
46	10	214
47	10	215
48	11	215
49	11	215
50	11	215
51	11	214
52	11	213
53	12	213
54	12	213
55	12	213
56	12	213
57	13	212
58	13	212
59	13	213
60	13	212
61	13	211
62	14	211
63	14	211
64	14	210
65	14	210
66	15	211
67	15	210
68	15	210
69	15	209
70	16	209
71	16	208
72	16	208
73	16	208
74	16	207
75	17	207
76	17	207
77	17	207
78	17	206
79	17	206
80	18	205
81	18	204
82	18	203
83	18	202
84	18	202
85	19	202
86	19	202
87	19	202
88	19	201
89	19	201
90	20	201
91	20	201
92	20	200
93	20	200
94	20	200
95	21	199
96	21	199
97	21	198
98	21	198
99	22	198
100	22	198
101	22	198
102	22	197
103	22	197
104	23	197
105	23	196
106	23	196
107	23	196
108	24	196
109	24	195
110	24	195
111	24	195
112	24	194
113	25	194
114	25	194
115	25	193
116	25	192
117	25	192
118	26	193
119	26	192
120	26	192
121	26	193
122	27	192
123	27	192
124	27	192
125	27	192
126	27	191
127	28	191
128	28	191
129	28	191
130	28	191
131	29	190
132	29	190
133	29	190
134	29	190
135	29	189
136	30	190
137	30	190
138	30	190
139	30	189
140	31	189
141	31	188
142	31	188
143	31	188
144	31	188
145	32	188
146	32	187
147	32	187
148	32	187
149	32	186
150	33	186
151	33	186
152	33	186
153	33	185
154	34	185
155	34	186
156	34	186
157	34	186
158	35	186
159	35	186
160	35	185
161	35	184
162	36	185
163	36	184
164	36	184
165	36	184
166	36	184
167	37	184
168	37	183
169	37	183
170	37	183
171	38	183
172	38	182
173	38	182
174	38	182
175	38	182
176	39	181
177	39	181
178	39	181
179	39	181
180	40	181
181	40	181
182	40	181
183	40	181
184	41	181
185	41	180
186	41	180
187	41	180
188	41	180
189	42	180
190	42	180
191	42	180
192	42	179
193	43	179
194	43	179
195	43	178
196	43	178
197	44	178
198	44	178
199	44	177
200	44	177
201	45	178
202	45	177
203	45	177
204	45	177
205	45	176
206	46	176
207	46	176
208	46	176
209	46	175
210	46	175
211	47	175
212	47	175
213	47	175
214	47	174
215	48	174
216	48	174
217	48	173
218	48	173
219	48	173
220	49	173
221	49	173
222	49	172
223	49	172
224	50	172
225	50	172
226	50	172
227	50	172
228	51	172
229	51	171
230	51	171
231	51	171
232	51	171
233	52	170
234	52	170
235	52	170
236	52	169
237	52	169
238	53	169
239	53	169
240	53	169
241	53	168
242	54	168
243	54	168
244	54	168
245	54	167
246	54	167
247	55	167
248	55	167
249	55	167
250	55	166
251	56	166
252	56	166
253	56	166
254	56	166
255	57	165
256	57	165
257	57	165
258	57	165
259	57	165
260	58	164
261	58	164
262	58	164
263	58	164
264	59	164
265	59	163
266	59	163
267	59	163
268	60	163
269	60	163
270	60	162
271	60	162
272	61	162
273	61	162
274	61	162
275	61	161
276	61	161
277	62	161
278	62	161
279	62	160
280	62	160
281	63	160
282	63	160
283	63	159
284	63	159
285	63	159
286	64	159
287	64	159
288	64	158
289	64	158
290	65	158
291	65	158
292	65	158
293	66	158
294	66	158
295	66	158
296	66	158
297	66	157
298	67	157
299	67	157
300	67	157
301	67	157
302	68	156
303	68	156
304	68	156
305	68	156
306	69	155
307	69	155
308	69	155
309	69	155
310	69	154
311	70	154
312	70	154
313	70	154
314	70	153
315	71	153
316	71	153
317	71	153
318	71	152
319	71	152
320	72	152
321	72	152
322	72	152
323	72	151
324	73	151
325	73	151
326	73	151
327	73	150
328	73	150
329	74	150
330	74	150
331	74	149
332	74	149
333	75	149
334	75	149
335	75	149
336	75	149
337	76	148
338	76	148
339	76	148
340	76	148
341	77	148
342	77	148
343	77	147
344	77	147
345	77	147
346	78	147
347	78	146
348	78	146
349	78	146
350	79	146
351	79	145
352	79	145
353	79	145
354	79	145
355	80	144
356	80	144
357	80	144
358	80	144
359	80	143
360	81	143
361	81	143
362	81	143
363	82	143
364	82	143
365	82	142
366	82	142
367	82	142
368	83	142
369	83	141
370	83	141
371	83	141
372	83	141
373	84	140
374	84	140
375	84	140
376	84	140
377	84	139
378	85	139
379	85	139
380	85	139
381	85	138
382	86	138
383	86	138
384	86	138
385	86	137
386	86	137
387	87	137
388	87	137
389	88	138
390	88	137
391	88	137
392	89	137
393	89	137
394	89	137
395	89	136
396	89	136
397	90	136
398	90	136
399	90	135
400	90	135
401	90	135
402	91	135
403	91	134
404	91	134
405	91	134
406	92	134
407	92	133
408	92	133
409	92	133
410	92	133
411	93	132
412	93	132
413	93	132
414	93	132
415	93	131
416	94	131
417	94	131
418	94	131
419	94	130
420	95	130
421	95	130
422	95	130
423	95	129
424	95	129
425	96	129
426	96	129
427	96	129
428	96	128
429	96	128
430	97	128
431	97	128
432	97	127
433	97	127
434	98	127
435	98	127
436	98	126
437	98	126
438	98	126
439	99	126
440	99	125
441	99	125
442	99	125
443	100	125
444	100	125
445	100	124
446	100	124
447	100	124
448	101	124
449	101	123
450	101	123
451	101	123
452	102	123
453	102	123
454	102	122
455	102	122
456	103	122
457	103	122
458	103	122
459	103	121
460	103	121
461	104	121
462	104	121
463	104	120
464	104	120
465	105	120
466	105	120
467	105	120
468	105	119
469	106	119
470	106	119
471	106	119
472	106	118
473	106	118
474	106	118
475	107	118
476	107	117
477	107	117
478	107	117
479	108	117
480	108	116
481	108	116
482	108	116
483	109	116
484	109	116
485	109	115
486	109	115
487	109	115
488	110	115
489	110	114
490	110	114
491	110	114
492	110	114
493	111	113
494	111	113
495	111	113
496	111	113
497	112	112
498	112	112
499	112	112
500	112	112
501	112	112
502	113	111
503	113	111
504	113	111
505	113	111
506	114	110
507	114	110
508	114	110
509	114	110
510	114	110
511	115	109
512	115	109
513	115	109
514	115	109
515	116	108
516	116	108
517	116	108
518	116	108
519	116	107
520	117	107
521	117	107
522	117	107
523	117	107
524	118	106
525	118	106
526	118	106
527	118	106
528	118	105
529	119	105
530	119	105
531	119	105
532	119	104
533	120	105
534	120	105
535	121	104
536	121	104
537	121	104
538	121	104
539	122	103
540	122	103
541	122	103
542	122	103
543	122	102
544	123	102
545	123	102
546	123	102
547	123	102
548	123	101
549	124	101
550	124	101
551	124	101
552	124	100
553	125	100
554	125	100
555	125	100
556	125	99
557	125	99
558	126	99
559	126	99
560	126	98
561	126	98
562	126	98
563	127	98
564	127	97
565	127	97
566	127	97
567	127	97
568	128	97
569	128	96
570	128	96
571	128	96
572	129	96
573	129	96
574	129	95
575	129	95
576	130	95
577	130	95
578	130	94
579	130	94
580	130	94
581	131	94
582	131	93
583	131	93
584	131	93
585	132	93
586	132	93
587	132	92
588	132	92
589	132	92
590	133	92
591	133	91
592	133	91
593	133	91
594	133	91
595	134	90
596	134	90
597	134	90
598	134	90
599	135	90
600	135	89
601	135	89
602	135	89
603	135	89
604	136	88
605	136	88
606	136	88
607	136	88
608	136	87
609	137	87
610	137	87
611	137	87
612	138	87
613	138	86
614	138	86
615	138	86
616	138	86
617	139	86
618	139	85
619	139	85
620	139	85
621	139	85
622	140	84
623	140	84
624	140	84
625	140	84
626	141	83
627	141	83
628	141	83
629	141	83
630	142	83
631	142	82
632	142	82
633	142	82
634	142	82
635	142	81
636	143	81
637	143	81
638	143	81
639	143	80
640	144	80
641	144	80
642	144	80
643	144	79
644	144	79
645	145	79
646	145	79
647	145	79
648	145	78
649	145	78
650	146	78
651	146	78
652	146	77
653	146	77
654	147	77
655	147	77
656	147	77
657	147	76
658	147	76
659	148	76
660	148	76
661	148	75
662	148	75
663	149	75
664	149	75
665	149	74
666	149	74
667	149	74
668	150	74
669	150	74
670	150	73
671	150	73
672	151	73
673	151	73
674	151	72
675	151	72
676	151	72
677	152	72
678	152	71
679	152	71
680	152	71
681	152	71
682	153	71
683	153	70
684	153	70
685	153	70
686	154	70
687	154	69
688	154	69
689	154	69
690	154	69
691	155	69
692	155	68
693	155	68
694	155	68
695	156	68
696	156	67
697	156	67
698	156	67
699	156	67
700	157	66
701	157	66
702	157	66
703	157	66
704	157	66
705	158	65
706	158	65
707	158	65
708	158	65
709	159	64
710	159	64
711	159	64
712	159	64
713	159	64
714	160	63
715	160	63
716	160	63
717	160	63
718	161	62
719	161	62
720	161	62
721	161	62
722	161	62
723	162	61
724	162	61
725	162	61
726	162	61
727	162	60
728	163	60
729	163	60
730	163	60
731	163	59
732	163	59
733	164	59
734	164	59
735	164	59
736	164	58
737	164	58
738	165	58
739	165	58
740	165	57
741	165	57
742	166	57
743	166	57
744	166	56
745	166	56
746	166	56
747	167	56
748	167	56
749	167	55
750	167	55
751	168	55
752	168	55
753	168	54
754	168	54
755	169	54
756	169	54
757	169	54
758	169	53
759	169	53
760	169	53
761	170	53
762	170	52
763	170	52
764	170	52
765	170	52
766	171	52
767	171	51
768	171	51
769	171	51
770	172	51
771	172	50
772	172	50
773	172	50
774	172	50
775	173	49
776	173	49
777	173	49
778	173	49
779	174	49
780	174	48
781	174	48
782	174	48
783	174	48
784	175	47
785	175	47
786	175	47
787	175	47
788	176	47
789	176	46
790	176	46
791	176	46
792	177	46
793	177	45
794	177	45
795	177	45
796	177	45
797	178	45
798	178	44
799	178	44
800	178	44
801	178	44
802	179	43
803	179	43
804	179	43
805	179	43
806	180	43
807	180	42
808	180	42
809	180	42
810	180	42
811	181	41
812	181	41
813	181	41
814	181	41
815	182	41
816	182	40
817	182	40
818	183	40
819	183	40
820	183	40
821	184	39
822	184	39
823	184	39
824	184	39
825	185	38
826	185	38
827	185	38
828	185	38
829	186	38
830	186	37
831	186	37
832	186	37
833	186	37
834	187	36
835	187	36
836	187	36
837	187	36
838	188	36
839	188	35
840	188	35
841	188	35
842	188	35
843	189	34
844	189	34
845	189	34
846	189	34
847	190	34
848	190	33
849	190	33
850	190	33
851	191	33
852	191	32
853	191	32
854	191	32
855	192	32
856	192	32
857	192	31
858	192	31
859	192	31
860	193	31
861	193	30
862	193	30
863	193	30
864	193	30
865	194	30
866	194	29
867	194	29
868	194	29
869	194	29
870	195	28
871	195	28
872	195	28
873	195	28
874	196	28
875	196	27
876	196	27
877	196	27
878	196	27
879	197	26
880	197	26
881	197	26
882	197	26
883	197	25
884	198	25
885	198	25
886	198	25
887	198	25
888	198	24
889	199	24
890	199	24
891	199	24
892	199	23
893	200	23
894	200	23
895	200	23
896	200	23
897	200	22
898	201	22
899	201	22
900	201	22
901	201	21
902	201	21
903	202	21
904	202	21
905	202	21
906	202	20
907	203	20
908	203	20
909	203	20
910	203	19
911	203	19
912	204	19
913	204	19
914	204	19
915	204	18
916	204	18
917	205	18
918	205	18
919	205	17
920	205	17
921	206	17
922	206	17
923	206	16
924	206	16
925	206	16
926	207	16
927	207	16
928	207	15
929	207	15
930	208	15
931	209	15
932	209	15
933	209	14
934	209	14
935	209	14
936	210	14
937	210	13
938	210	13
939	210	13
940	211	13
941	211	13
942	211	12
943	211	12
944	211	12
945	212	12
946	212	11
947	212	11
948	212	11
949	213	11
950	213	10
951	213	10
952	213	10
953	213	10
954	214	10
955	214	9
956	214	9
957	214	9
958	215	9
959	215	8
960	215	8
961	215	8
962	215	8
963	216	8
964	216	7
965	216	7
966	216	7
967	217	7
968	217	6
969	217	6
970	217	6
971	217	6
972	218	6
973	218	5
974	218	5
975	218	5
976	218	5
977	219	4
978	219	4
979	219	4
980	219	4
981	220	4
982	220	3
983	220	3
984	220	3
985	220	3
986	221	2
987	221	2
988	221	2
989	221	2
990	221	2
991	222	1
992	222	1
993	222	1
994	222	1
995	223	0
996	223	0
997	223	0
998	223	0
999	224	0
